x,y,elevation,banking,w_tr_right_m,w_tr_left_m
865.296748,-1236.288448,0.0,0.0,4.71,4.853
866.675083,-1241.076296,0.0,0.0,4.571,4.842
867.863435,-1245.90508,0.0,0.0,4.62,5.05
868.798293,-1250.78848,0.0,0.0,4.675,5.192
869.41612,-1255.739342,0.0,0.0,4.704,5.298
869.65223,-1260.738034,0.0,0.0,4.759,5.362
869.440451,-1265.722793,0.0,0.0,4.88,5.214
868.714509,-1270.629052,0.0,0.0,4.991,5.22
867.408134,-1275.392239,0.0,0.0,5.076,5.13
865.455053,-1279.947787,0.0,0.0,5.095,5.014
862.814155,-1284.235561,0.0,0.0,5.002,4.899
859.627491,-1288.227723,0.0,0.0,4.795,4.943
856.118122,-1291.910719,0.0,0.0,4.587,4.818
852.457604,-1295.273334,0.0,0.0,4.379,4.584
848.614056,-1298.31327,0.0,0.0,4.294,4.704
844.506252,-1301.030871,0.0,0.0,4.439,4.409
840.152603,-1303.513231,0.0,0.0,4.528,4.295
835.788849,-1306.036657,0.0,0.0,4.6,4.237
831.676217,-1308.897905,0.0,0.0,4.449,4.328
827.95907,-1312.227449,0.0,0.0,4.281,4.433
824.633247,-1315.944439,0.0,0.0,4.605,4.249
821.686168,-1319.963035,0.0,0.0,4.622,4.247
819.109862,-1324.231207,0.0,0.0,4.457,4.352
816.897552,-1328.705184,0.0,0.0,4.379,4.349
815.056061,-1333.347396,0.0,0.0,4.414,4.322
813.621756,-1338.13373,0.0,0.0,4.463,4.291
812.635098,-1343.041248,0.0,0.0,4.377,4.29
812.144556,-1348.025517,0.0,0.0,4.282,4.308
812.208713,-1353.01494,0.0,0.0,4.448,4.242
812.875421,-1357.940311,0.0,0.0,4.26,4.289
814.030066,-1362.791345,0.0,0.0,4.273,4.273
815.436842,-1367.601716,0.0,0.0,4.322,4.212
816.87894,-1372.403009,0.0,0.0,4.348,4.21
818.295122,-1377.20451,0.0,0.0,4.368,4.222
